vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,pickup_datetime1,pickup_datetime2,pickup_date,dropoff_datetime1,dropoff_time,dropoff_date,pickup_time,pickup_hour,pickup_minutes,pickup_seconds,customer_id
VTS,6/1/2014 17:00,6/1/2014 17:04,1,1.169999957,-73.94605255,40.78567886,1,,-73.95597076,40.77205658,CRD,5.5,0,0.5,1,0,7,6/1/2014,17:00:00,19875,6/1/2014,17:04:00,19875,5:00:00 PM,17,0,0,22
VTS,6/1/2014 17:00,6/1/2014 17:28,2,3.720000029,-73.94618988,40.7812233,1,,-73.98882294,40.7742157,CRD,20,0,0.5,4,0,24.5,6/1/2014,17:00:00,19875,6/1/2014,17:28:00,19875,5:00:00 PM,17,0,0,23
VTS,6/1/2014 17:00,6/1/2014 17:02,6,0.50999999,-73.94638824,40.81678009,1,,-73.95129395,40.81194305,CSH,4,0,0.5,0,0,4.5,6/1/2014,17:00:00,19875,6/1/2014,17:02:00,19875,5:00:00 PM,17,0,0,24
VTS,6/1/2014 17:00,6/1/2014 17:22,2,3.309999943,-73.94863129,40.77389908,1,,-73.98968506,40.77204132,CRD,16.5,0,0.5,2,0,19,6/1/2014,17:00:00,19875,6/1/2014,17:22:00,19875,5:00:00 PM,17,0,0,25
VTS,6/1/2014 17:00,6/1/2014 17:03,1,1.159999967,-73.95012665,40.78015518,1,,-73.95327759,40.76747131,CRD,5.5,0,0.5,1.100000024,0,7.099999905,6/1/2014,17:00:00,19875,6/1/2014,17:03:00,19875,5:00:00 PM,17,0,0,26
VTS,6/1/2014 17:00,6/1/2014 17:12,2,1.700000048,-73.95194244,40.78457642,1,,-73.96322632,40.76421738,CRD,10,0,0.5,1,0,11.5,6/1/2014,17:00:00,19875,6/1/2014,17:12:00,19875,5:00:00 PM,17,0,0,27
VTS,6/1/2014 17:00,6/1/2014 17:07,1,0.949999988,-73.95419312,40.77466202,1,,-73.96443176,40.77039337,CRD,6.5,0,0.5,0,0,7,6/1/2014,17:00:00,19875,6/1/2014,17:07:00,19875,5:00:00 PM,17,0,0,28
VTS,6/1/2014 17:00,6/1/2014 17:16,1,2.230000019,-73.95451355,40.77807999,1,,-73.97555542,40.75572586,CRD,12,0,0.5,0,0,12.5,6/1/2014,17:00:00,19875,6/1/2014,17:16:00,19875,5:00:00 PM,17,0,0,29
VTS,6/1/2014 17:00,6/1/2014 17:24,1,3.170000076,-73.95474243,40.77379608,1,,-73.99065399,40.75630569,CSH,17,0,0.5,0,0,17.5,6/1/2014,17:00:00,19875,6/1/2014,17:24:00,19875,5:00:00 PM,17,0,0,30
VTS,6/1/2014 17:00,6/1/2014 17:04,1,0.720000029,-73.95496368,40.77919388,1,,-73.95014191,40.77454376,CRD,5,0,0.5,1,0,6.5,6/1/2014,17:00:00,19875,6/1/2014,17:04:00,19875,5:00:00 PM,17,0,0,31
