customer_id,pickup_date,pickup_time,pickup_latitude,pickup_longitude,passenger_count,dropoff_date,dropoff_time,dropoff_latitude,dropoff_longitude,trip_distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
1,2014-06-04,17:00:00,40.64531326,-73.78046417,5,2014-06-04,17:35:00,40.71112061,-73.91705322,13.64999962,39.5,1,0.5,5,0,46
2,2014-06-04,17:00:00,40.64489746,-73.78144073,5,2014-06-04,17:46:00,40.71113586,-74.00234985,14.89000034,52,0,0.5,4,0,56.5
3,2014-06-04,17:00:00,40.6447525,-73.78179932,2,2014-06-04,17:12:00,40.66583633,-73.80593109,4.230000019,14.5,1,0.5,0,0,16
4,2014-06-04,17:00:00,40.64471817,-73.78201294,2,2014-06-04,17:24:00,40.77011108,-73.86448669,11.60999966,32.5,1,0.5,6.699999809,0,40.70000076
5,2014-06-04,17:00:00,40.64265823,-73.78830719,1,2014-06-04,17:31:00,40.67805862,-73.94538116,11.35999966,35.5,1,0.5,0,0,37
6,2014-06-04,17:00:00,40.64200211,-73.78879547,1,2014-06-04,18:05:00,40.76416016,-73.98126984,18.56999969,52,0,0.5,11.47000027,5.329999924,69.30000305
7,2014-06-04,17:00:00,40.6470108,-73.78955841,1,2014-06-04,17:37:00,40.68335342,-74.00205231,19.62999916,52.5,1,0.5,10.69999981,0,64.69999695
8,2014-06-04,17:00:00,40.64325333,-73.78971863,1,2014-06-04,18:03:00,40.75717163,-73.98203278,18.03000069,52,0,0.5,0,5.329999924,57.83000183
9,2014-06-04,17:00:00,40.76882553,-73.86274719,1,2014-06-04,17:27:00,40.78756332,-73.9560318,8.659999847,28,1,0.5,5.800000191,0,35.29999924
10,2014-06-04,17:00:00,40.76968765,-73.86382294,1,2014-06-04,17:23:00,40.70867157,-73.94467163,8.289999962,26,1,0.5,5.400000095,0,32.90000153
11,2014-06-04,17:00:00,40.77064133,-73.86533356,6,2014-06-04,17:42:00,40.7645607,-73.98080444,10.97000027,37,1,0.5,0,5.329999924,43.83000183
12,2014-06-04,17:00:00,40.77418518,-73.87250519,6,2014-06-04,17:16:00,40.75749588,-73.93170929,4.230000019,15,1,0.5,0,0,16.5
13,2014-06-04,17:00:00,40.77420044,-73.87310028,2,2014-06-04,17:35:00,40.65205002,-73.97399902,14.52000046,41,1,0.5,0,0,42.5
14,2014-06-04,17:00:00,40.77403641,-73.8732605,5,2014-06-04,17:25:00,40.75510025,-73.97147369,8.43999958,27,1,0.5,0,5.329999924,33.83000183
15,2014-06-04,17:00:00,40.77405167,-73.87338257,1,2014-06-04,17:36:00,40.75537109,-73.98075104,8.960000038,32,1,0.5,9.579999924,5.329999924,48.40999985
16,2014-06-04,17:00:00,40.77429962,-73.87342834,2,2014-06-04,17:35:00,40.75491333,-73.98413849,8.640000343,32,1,0.5,7.670000076,5.329999924,46.5
17,2014-06-04,17:00:00,40.77403641,-73.87496185,2,2014-06-04,17:40:00,40.74836731,-74.00550079,12.84000015,40.5,1,0.5,14.05000019,5.329999924,61.38000107
18,2014-06-04,17:00:00,40.77311707,-73.88531494,1,2014-06-04,17:33:00,40.7270813,-74.00592041,10.31999969,33,1,0.5,0,5.329999924,39.83000183
19,2014-06-04,17:00:00,40.79971695,-73.94081116,4,2014-06-04,17:25:00,40.75283051,-73.97512054,3.720000029,17,1,0.5,0,0,18.5
20,2014-06-04,17:00:00,40.78015518,-73.94501495,1,2014-06-04,17:02:00,40.7729454,-73.94936371,0.629999995,4.5,1,0.5,1,0,7
21,2014-06-04,17:00:00,40.7870903,-73.94519043,1,2014-06-04,17:12:00,40.77781296,-73.97489166,2.450000048,11,1,0.5,2.400000095,0,14.89999962
22,2014-06-04,17:00:00,40.77400208,-73.94553375,2,2014-06-04,17:06:00,40.78566742,-73.95271301,1.389999986,6.5,1,0.5,0,0,8
