customer_id,pickup_date,pickup_time,pickup_latitude,pickup_longitude,passenger_count,dropoff_date,dropoff_time,dropoff_latitude,dropoff_longitude,trip_distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
34,2014-06-04,08:00:00,40.76676178,-73.95690918,1,2014-06-04,08:04:00,40.77624512,-73.9499588,0.790000021,4.5,0,0.5,1,0,6
35,2014-06-04,08:00:00,40.7664032,-73.95700073,1,2014-06-04,08:18:00,40.69633102,-73.99129486,7.340000153,23.5,0,0.5,4.699999809,0,28.70000076
36,2014-06-04,08:00:00,40.76250076,-73.95706177,3,2014-06-04,08:28:00,40.75133514,-74.00673676,4.340000153,21,0,0.5,0,0,21.5
37,2014-06-04,08:00:00,40.77967453,-73.95722198,2,2014-06-04,08:04:00,40.77525711,-73.96191406,0.579999983,5,0,0.5,0,0,5.5
38,2014-06-04,08:00:00,40.801651,-73.95743561,5,2014-06-04,08:15:00,40.84043121,-73.94348907,3.650000095,14,0,0.5,2.5,0,17
39,2014-06-04,08:00:00,40.76270676,-73.95801544,1,2014-06-04,08:10:00,40.73932648,-73.99214172,3.299999952,11.5,0,0.5,1,0,13
40,2014-06-04,08:00:00,40.78498077,-73.95804596,4,2014-06-04,08:18:00,40.75703049,-73.98629761,2.730000019,13.5,0,0.5,4.050000191,0,18.04999924
41,2014-06-04,08:00:00,40.76398849,-73.95855713,1,2014-06-04,08:16:00,40.74671936,-73.98165131,2.279999971,12,0,0.5,2.400000095,0,14.89999962
42,2014-06-04,08:00:00,40.77252197,-73.95857239,1,2014-06-04,08:03:00,40.77706146,-73.9596405,0.5,4,0,0.5,1,0,5.5
43,2014-06-04,08:00:00,40.77694702,-73.95954132,1,2014-06-04,08:03:00,40.78058624,-73.9568634,0.379999995,4,0,0.5,0.5,0,5
44,2014-06-04,08:00:00,40.78214645,-73.95999908,1,2014-06-04,08:15:00,40.76077652,-73.97592926,2.559999943,12.5,0,0.5,1.299999952,0,14.30000019
45,2014-06-04,08:00:00,40.65693283,-73.96008301,1,2014-06-04,08:16:00,40.68568039,-73.92053223,3.829999924,14.5,0,0.5,2.900000095,0,17.89999962
46,2014-06-04,08:00:00,40.81152344,-73.96115875,1,2014-06-04,08:05:00,40.80324936,-73.96372223,0.769999981,5,0,0.5,0,0,5.5
47,2014-06-04,08:00:00,40.79633713,-73.96133423,5,2014-06-04,08:11:00,40.76496887,-73.99067688,2.940000057,11,0,0.5,2.200000048,0,13.69999981
48,2014-06-04,08:00:00,40.7714386,-73.96150208,6,2014-06-04,08:08:00,40.75939941,-73.97286224,1.159999967,7,0,0.5,0.5,0,8
49,2014-06-04,08:00:00,40.7794075,-73.96157837,1,2014-06-04,08:26:00,40.74891663,-74.00340271,3.980000019,18.5,0,0.5,4.619999886,0,23.62000084
50,2014-06-04,08:00:00,40.76066208,-73.96208191,1,2014-06-04,08:04:00,40.76458359,-73.95839691,0.409999996,4.5,0,0.5,0,0,5
51,2014-06-04,08:00:00,40.77907181,-73.96234131,1,2014-06-04,08:09:00,40.76102066,-73.9752655,1.460000038,8,0,0.5,1.600000024,0,10.10000038
52,2014-06-04,08:00:00,40.75783539,-73.96245575,6,2014-06-04,08:03:00,40.7573967,-73.96836853,0.699999988,4.5,0,0.5,1.120000005,0,6.119999886
53,2014-06-04,08:00:00,40.71276474,-73.96245575,1,2014-06-04,08:20:00,40.72032547,-73.99619293,2.549999952,13,0,0.5,2.599999905,0,16.10000038
54,2014-06-04,08:00:00,40.76316833,-73.96259308,1,2014-06-04,08:04:00,40.75526047,-73.96772766,0.639999986,5,0,0.5,0,0,5.5
55,2014-06-04,08:00:00,40.7629776,-73.96266174,6,2014-06-04,08:15:00,40.74137878,-73.97519684,1.789999962,10.5,0,0.5,2.099999905,0,13.10000038
56,2014-06-04,08:00:00,40.76915741,-73.96302795,5,2014-06-04,08:12:00,40.752491,-73.97465515,1.370000005,8.5,0,0.5,1,0,10
57,2014-06-04,08:00:00,40.77497864,-73.96328735,1,2014-06-04,08:18:00,40.75602341,-73.98490906,2.049999952,13,0,0.5,0,0,13.5
58,2014-06-04,08:00:00,40.77708054,-73.96378326,1,2014-06-04,08:15:00,40.74208069,-73.9892807,2.799999952,12.5,0,0.5,2,0,15
59,2014-06-04,08:00:00,40.7566185,-73.96437073,1,2014-06-04,08:08:00,40.76978302,-73.95856476,1.25,6.5,0,0.5,0,0,7
60,2014-06-04,08:00:00,40.76786041,-73.96450806,1,2014-06-04,08:15:00,40.73974991,-73.98466492,2.24000001,11,0,0.5,2.200000048,0,13.69999981
61,2014-06-04,08:00:00,40.77027512,-73.96463776,1,2014-06-04,08:21:00,40.78359985,-73.98039246,2.170000076,14,0,0.5,1.5,0,16
62,2014-06-04,08:00:00,40.77196884,-73.96533203,1,2014-06-04,08:08:00,40.78749084,-73.95413208,1.289999962,7.5,0,0.5,0,0,8
63,2014-06-04,08:00:00,40.80474854,-73.96599579,5,2014-06-04,08:06:00,40.79276276,-73.97124481,0.980000019,6.5,0,0.5,0,0,7
64,2014-06-04,08:00:00,40.80468369,-73.96645355,2,2014-06-04,08:15:00,40.79082489,-73.95174408,2.529999971,12,0,0.5,0,0,12.5
65,2014-06-04,08:00:00,40.80388641,-73.96691895,1,2014-06-04,08:04:00,40.79439545,-73.96643066,0.949999988,5,0,0.5,1,0,6.5
66,2014-06-04,08:00:00,40.76353836,-73.96697998,1,2014-06-04,08:11:00,40.77423477,-73.97963715,1.519999981,9,0,0.5,0,0,9.5
67,2014-06-04,08:00:00,40.75693893,-73.96703339,1,2014-06-04,08:18:00,40.75718307,-73.99729156,2.180000067,12.5,0,0.5,0,0,13
68,2014-06-04,08:00:00,40.7641716,-73.96714783,1,2014-06-04,08:05:00,40.76895142,-73.96134186,0.550000012,5,0,0.5,1.25,0,6.75
69,2014-06-04,08:00:00,40.79338837,-73.96723175,1,2014-06-04,08:14:00,40.81341553,-73.94494629,2.190000057,11.5,0,0.5,0,0,12
70,2014-06-04,08:00:00,40.75116348,-73.96813965,1,2014-06-04,08:09:00,40.76866913,-73.95422363,1.480000019,8,0,0.5,0,0,8.5
71,2014-06-04,08:00:00,40.75735092,-73.96970367,4,2014-06-04,08:04:00,40.76747131,-73.96231842,0.800000012,5,0,0.5,0,0,5.5
72,2014-06-04,08:00:00,40.74964142,-73.97011566,1,2014-06-04,08:07:00,40.75496674,-73.9783783,0.689999998,6,0,0.5,1,0,7.5
73,2014-06-04,08:00:00,40.75479889,-73.97203064,1,2014-06-04,08:13:00,40.75538635,-73.986763,1.330000043,9.5,0,0.5,0,0,10
74,2014-06-04,08:00:00,40.7623291,-73.9724884,1,2014-06-04,08:08:00,40.77280045,-73.95992279,1.210000038,7,0,0.5,0,0,7.5
75,2014-06-04,08:00:00,40.76010513,-73.97257996,1,2014-06-04,08:12:00,40.77761459,-73.98903656,2.089999914,9.5,0,0.5,1.899999976,0,11.89999962
